"code","name"
002,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk"
008,"PT. BANK MANDIRI (PERSERO), Tbk"
009,"PT. BANK NEGARA INDONESIA (PERSERO),Tbk"
011,"PT. BANK DANAMON INDONESIA, Tbk"
013,"PT. BANK PERMATA, Tbk (d/h PT BANK BALI Tbk)"
014,"PT. BANK CENTRAL ASIA, Tbk."
016,"PT. BANK INTERNASIONAL INDONESIA, Tbk"
019,"PT. PAN INDONESIA BANK, Tbk"
022,"PT. BANK CIMB NIAGA, Tbk d/h NIAGA"
023,PT. BANK UOB INDONESIA TBK
028,"PT. BANK OCBC NISP, Tbk d/h PT BANK NISP TBK"
031,CITIBANK N.A.
032,"JP MORGAN CHASE BANK, NA"
033,"BANK OF AMERICA, N.A"
036,PT. BANK WINDU KENTJANA INTERNASIONAL TBK
037,"PT. BANK ARTA GRAHA INTERNASIONAL, Tbk"
040,"THE BANGKOK BANK COMP, LTD"
041,THE HONGKONG & SHANGHAI B.C.
042,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD"
045,PT. BANK SUMITOMO MITSUI INDONESIA
046,PT. BANK DBS INDONESIA
047,PT. BANK RESONA PERDANIA
048,PT. BANK MIZUHO INDONESIA
050,STANDARD CHARTERED BANK
052,THE ROYAL BANK OF SCOTLAND NV D/H ABN AMRO BANK
054,PT. BANK CAPITAL INDONESIA(d/h CREDIT LYONNAIS)
057,PT. BANK BNP PARIBAS INDONESIA
059,PT. KOREA EXCHANGE BANK DANAMON
061,PT. BANK ANZ INDONESIA D/H ANZ PANIN BANK
067,DEUTSCHE BANK AG.
068,PT. BANK WOORI INDONESIA
069,"BANK OF CHINA, LTD"
076,PT. BANK BUMI ARTA
087,PT. BANK EKONOMI RAHARJA TBK
088,PT. BANK ANTAR DAERAH
089,PT. BANK RABOBANK INT IND d/h BANK HAGA
095,"PT. BANK MUTIARA, Tbk D/H PT BANK CENTURY TBK"
097,PT. BANK MAYAPADA INTERNASIONAL TBK
110,PT. BPD JAWA BARAT DAN BANTEN
111,PT. BANK DKI
112,BPD YOGYAKARTA
113,PT. BPD JAWA TENGAH
114,PT. BPD JAWA TIMUR
115,BPD JAMBI
116,PT. BANK ACEH D/H BPD ACEH
117,PT. BPD SUMATERA UTARA
118,BPD SUMATERA BARAT
119,PT. BPD RIAU
120,PT. BPD SUMATERA SELATAN DAN BANGKA BELITUNG
121,PT. BANK LAMPUNG
122,PT. BPD KALIMANTAN SELATAN
123,PT. BPD KALIMANTAN BARAT
124,BPD KALIMANTAN TIMUR
125,PT. BPD BANK KALIMANTAN TENGAH
126,PT. BPD SULAWESI SELATAN DAN SULAWESI BARAT
127,PT. BPD SULAWESI UTARA
128,PT. BPD NUSA TENGGARA BARAT
129,PT. BPD BALI
130,PT. BPD NUSA TENGGARA TIMUR
131,PT. BPD MALUKU
132,PT. BPD PAPUA
133,PT. BPD BENGKULU
134,PT. BPD SULAWESI TENGAH
135,PT. BPD SULAWESI TENGGARA
145,PT. BANK NUSANTARA PARAHYANGAN TBK.
146,"PT. BANK SWADESI, Tbk"
147,PT. BANK MUAMALAT INDONESIA
151,PT. BANK MESTIKA DHARMA
152,PT. BANK METRO EKSPRESS
153,PT. BANK SINAR MAS
157,PT. BANK MASPION INDONESIA
161,PT. BANK GANESHA
164,PT. BANK ICBC INDONESIA
167,"PT. BANK QNB KESAWAN, Tbk"
200,PT. BANK TABUNGAN NEGARA (PERSERO)
212,PT. BANK HIMPUNAN SAUDARA 1906
213,PT. BANK TABUNGAN PENSIUNAN NASIONAL TBK
405,PT. BANK VICTORIA SYARIAH d/h BANK SWAGUNA
422,PT. BANK BRI SYARIAH d/h DJASA ARTHA
425,PT BANK JABAR BANTEN SYARIAH
426,"PT BANK MEGA, Tbk"
427,PT BANK BNI SYARIAH
441,PT. BANK BUKOPIN
451,"PT. BANK SYARIAH MANDIRI, Tbk"
459,PT. BANK BISNIS INTERNASIONAL
466,PT. BANK ANDARA d/h SRI PARTHA
472,PT. BANK JASA JAKARTA
484,PT. BANK HANA D/H BINTANG MANUNGGAL
485,"PT. BANK ICB BUMIPUTERA,Tbkd/hBumiputera Indonesia"
490,PT. BANK YUDHA BHAKTI
491,PT. BANK MITRANIAGA
494,"PT. BANK RAKYAT INDONESIA AGRONIAGA, TBK"
498,PT. BANK SBI INDONESIA d/h INDOMONEX
501,PT. BANK ROYAL INDONESIA
503,PT. BANK NATIONALNOBU D/H PT BANK ALFINDO
506,PT. BANK MEGA SYARIAH(dh B MG SY IND/TUGU)
513,PT. BANK INA PERDANA
517,PT. BANK PANIN SYARIAH D/H HARFA
520,PT. BANK PRIMA MASTER
521,PT. BANK SYARIAH BUKOPIN D/H PERSYARIKATAN IND.
523,PT. BANK SAHABAT SAMPOERNA
526,PT. BANK DINAR INDONESIA
531,PT. BANK ANGLOMAS INTERNASIONAL
535,PT. BANK KESEJAHTERAAN EKONOMI
536,PT. BANK BCA SYARIAH d/h UIB
542,PT. BANK ARTOS INDONESIA
547,PT. BANK SAHABAT PURBA DANARTA
548,PT. BANK MULTI ARTA SENTOSA
553,PT. BANK MAYORA
555,PT. BANK INDEX SELINDO
558,"PT BANK PUNDI INDONESIA,Tbk d/h EKSEKUTIF INTL"
559,PT. CENTRATAMA NASIONAL BANK
562,PT. BANK FAMA INTERNASIONAL
564,PT. BANK SINAR HARAPAN BALI
566,PT. BANK VICTORIA INTERNATIONAL
567,PT. BANK HARDA INTERNASIONAL
945,PT. BANK AGRIS D/H FINCONESIA
947,PT. BANK MAYBANK INDOCORP
949,PT. BANK CHINATRUST INDONESIA
950,PT. BANK COMMONWEALTH